Electricity.Timestep;Time;HH1 - Living room - Living Room Light (Energy Saving Lamp, 20W) [kWh];HH1 - Kitchen - Kitchen Light (20W) [kWh];HH1 - Bath - Bathroom Light (20W) [kWh];HH1 - Bath - Bathroom Mirror Light 10 W (LED) [kWh];HH1 - Bedroom - Bedroom Light (20W) [kWh];HH1 - Children's room 2 - Children Room Light Device (20W) [kWh];HH1 - Children's room - Children Room Light Device (20W) [kWh];HH1 - Kitchen - Egg Cooker / Russell Hobbs 14048-56 Stylo [kWh];HH1 - Kitchen - Juicer / Moulinex Vitafruit [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Single Stove Plate [kWh];HH1 - Kitchen - Nespresso Coffee Machine, Single Cup [kWh];HH1 - Kitchen - Food Slicer / DOMO Schneidemaschine DO521S [kWh];HH1 - Kitchen - Toaster Salco MT 400 [kWh];HH1 - Kitchen - Miele DG 1450 [kWh];HH1 - Kitchen - Handmixer / Phillips Robust HR 1581 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Kitchen - Extractor Hood / Miele DA 429-4 [kWh];HH1 - Kitchen - Miele DA 61 [kWh];HH1 - Kitchen - Deep Fryer / DeLonghi F 28311.W Rotofritteuse [kWh];HH1 - Kitchen - Ricecooker / Tristar RK-6112 [kWh];HH1 - Kitchen - Steam Cooker / Phillips HD9140 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [kWh];HH1 - Kitchen - Immersion Blender Noah Hit Top [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [kWh];HH1 - Kitchen - Fondue / Unold 48746 Asia [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - Digitalpiano / Kawai CN-23 [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Kitchen - Electric Kettle / Petra WK288 1.5L [kWh];HH1 - Living room - Energy Saving Lamp / EL-REF 11 E27 [kWh];HH1 - Kitchen - Vacuum Cleaner FiF [kWh];HH1 - Living room - Nintendo Wii [kWh];HH1 - Kitchen - Dishwasher NEFF SD6P1F (2011) [kWh];HH1 - Kitchen - Dryer / Miele T 8626 WP [kWh];HH1 - Kitchen - Washing Machine AEG Öko Plus 1400 [kWh];HH1 - Bath - Hair Dryer Braun Silencio 1250 [kWh];HH1 - Kitchen - Siemens Kl 20 LA 65 (A+) [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Freezer Liebherr Premium no Frost 2358 (2011) [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Bath - Electric Razor Braun Cruzer 5 [kWh];HH1 - Bath - Electric Toothbrush Dondodent Professional Clean [kWh];HH1 - Living room - Phone Siemens Gigaset C320 [kWh];HH1 - Living room - Router O2 Box 6431 [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Living room - Yamaha RX-V667 [kWh];HH1 - Living room - Nintendo Wii [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh]
0;01.08.2023 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009433350499999998;0.0013539710120467978;0.01772314991475409;0.01300999999999999;0.0027946511496489885;0.000951134524863388;0.0002207039117486338;0.002778593068306011;0.006407907062841531;0.0010992167707128337;0.0020534445577349786;0.00133312896213359;0.00027985599753510673;0.002990024110859167;0.011912436633173063;0.001918446882528773;0;0
60;01.08.2023 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00981767503333333;0.0013522281415176466;0.018922294710109287;0.01300999999999999;0.0028146335320575555;0.0009553398879781422;0.0002162659532786885;0.002776376025409836;0.006407790838797813;0.0010729940734030647;0.0020674154403542344;0.0013182110371245611;0.0002835731311906288;0.0029865580342227434;0.011903301041547566;0.0019866121181518516;0;0
120;01.08.2023 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013438908286879157;0.01826584022459016;0.01300999999999999;0.0028047816200116654;0.0009472100248633876;0.0002269302524590163;0.0027777530109289613;0.0064128512431693985;0.001081958487723869;0.0021018020423398767;0.0013516387832027614;0.0002783290336071393;0.0030120416895187047;0.012182680238013568;0.001987788710274039;0;0
180;01.08.2023 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013455663491977264;0.018118062572131152;0.01300999999999999;0.0028304877590161724;0.0009482758677595625;0.000223210782513661;0.0027779628724043715;0.006412910262295082;0.0010978208095749837;0.0020856893535893557;0.0013649195472980487;0.0002844296860838354;0.003007187425361578;0.01209487151772878;0.002012801063091386;0;0
240;01.08.2023 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013213267122063072;0.017525792041803274;0.01300999999999999;0.002804610188599464;0.0009553815844262295;0.00021606311912568307;0.0027775703497267762;0.006407856153005466;0.0010755696408662131;0.002099878169967203;0.0013635199466550728;0.00028007319504131934;0.002975587999894661;0.011995539096695495;0.0019879432673839386;0;0
300;01.08.2023 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013324856370885141;0.01973478335027322;0.01300999999999999;0.002807536462280208;0.0009529486286885244;0.00022060565027322401;0.002774897893442622;0.006412938781420765;0.0010983822520805983;0.002140058347700788;0.0013166410607570163;0.0002818145672341516;0.003018975859285922;0.01204607672908665;0.0019417451964563754;0;0
360;01.08.2023 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0081852941;0.0013686375777756555;0.019931872469398905;0.01300999999999999;0.002800947283005783;0.0009525416647540982;0.00022618808934426218;0.0027780274180327857;0.006407775349726775;0.0010640671541547006;0.0020695222528619847;0.0013475154727211312;0.0002773796865802491;0.0030267067228096642;0.011975221620711664;0.0019919566155078817;0;0.023973327834032054
420;01.08.2023 07:00;0;0;0;0;0;0;0;0.03381913537183372;0.0308005096955887;0.008745472127269812;0.468626446310847;0.008666609804098365;0.0021361589425844285;0.08367395519125678;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00954223533461821;0;0;0;0;0;0;0.05892983606557366;0;0;0;0;0;0;0;0.010708343016666665;0.0005482650901776163;0.021183365878688524;0.01300999999999999;0.0013935722012469556;0.0009453854573770488;0.0002205208286885245;0.0027764211502732234;0.0064079868387978125;0.0010749501275330794;0.0021104647431865707;0.0013660225306940032;0.0002782345398185237;0.002987243247836364;0.011894883839978393;0.0019435140128620943;0;0.025478228239175293
480;01.08.2023 08:00;0;0;0;0;0;0;0;0;0;0.0040611348730941925;0.2831721722780602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01873562826674204;0;0;0;0;0;0;0.05888906010928966;0;0;0;0;0;0;0;0.0094443981;0.0009801609177903935;0.02162207428169398;0.01300999999999999;4.160239532185573E-05;0.0009495811478142074;0.00021593695628415295;0.0027788047439890706;0.006407808928961748;0.0010522247005998683;0.0020685132967951684;0.001338579607184349;0.0002840784608946909;0.003026834346212081;0.012036288190813055;0.0019565907545466537;0;0.024905704592811526
540;01.08.2023 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008178346540585994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0013462073775708187;0.019574857337431688;0.01300999999999999;0.001598644595691973;0.0009568668038251367;0.0002290312683060108;0.002780225413387977;0.006407840538251364;0.001098294802679367;0.0020815210983090617;0.00137218259925858;0.00027968508435114646;0.0030394101143385592;0.01206062279443585;0.0019691644330467636;0;0.02480919834410516
