Electricity.Timestep;Time;HH1 - Living room - Living Room Light (Energy Saving Lamp, 20W) [kWh];HH1 - Kitchen - Kitchen Light (20W) [kWh];HH1 - Bath - Bathroom Light (20W) [kWh];HH1 - Bath - Bathroom Mirror Light 10 W (LED) [kWh];HH1 - Bedroom - Bedroom Light (20W) [kWh];HH1 - Children's room 2 - Children Room Light Device (20W) [kWh];HH1 - Children's room - Children Room Light Device (20W) [kWh];HH1 - Kitchen - Egg Cooker / Russell Hobbs 14048-56 Stylo [kWh];HH1 - Kitchen - Juicer / Moulinex Vitafruit [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Single Stove Plate [kWh];HH1 - Kitchen - Nespresso Coffee Machine, Single Cup [kWh];HH1 - Kitchen - Food Slicer / DOMO Schneidemaschine DO521S [kWh];HH1 - Kitchen - Toaster Salco MT 400 [kWh];HH1 - Kitchen - Miele DG 1450 [kWh];HH1 - Kitchen - Handmixer / Phillips Robust HR 1581 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Kitchen - Extractor Hood / Miele DA 429-4 [kWh];HH1 - Kitchen - Miele DA 61 [kWh];HH1 - Kitchen - Deep Fryer / DeLonghi F 28311.W Rotofritteuse [kWh];HH1 - Kitchen - Ricecooker / Tristar RK-6112 [kWh];HH1 - Kitchen - Steam Cooker / Phillips HD9140 [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [kWh];HH1 - Kitchen - Immersion Blender Noah Hit Top [kWh];HH1 - Kitchen - Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [kWh];HH1 - Kitchen - Fondue / Unold 48746 Asia [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - Digitalpiano / Kawai CN-23 [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Kitchen - Electric Kettle / Petra WK288 1.5L [kWh];HH1 - Living room - Energy Saving Lamp / EL-REF 11 E27 [kWh];HH1 - Kitchen - Vacuum Cleaner FiF [kWh];HH1 - Living room - Nintendo Wii [kWh];HH1 - Kitchen - Dishwasher NEFF SD6P1F (2011) [kWh];HH1 - Kitchen - Dryer / Miele T 8626 WP [kWh];HH1 - Kitchen - Washing Machine AEG Öko Plus 1400 [kWh];HH1 - Bath - Hair Dryer Braun Silencio 1250 [kWh];HH1 - Kitchen - Siemens Kl 20 LA 65 (A+) [kWh];HH1 - Kitchen - Kitchen radio / AEG KRC 4323 CD [kWh];HH1 - Kitchen - Freezer Liebherr Premium no Frost 2358 (2011) [kWh];HH1 - Kitchen - Microwave Panasonic (1991) [kWh];HH1 - Living room - Laptop Sony Vaio SVE151G11M [kWh];HH1 - Bath - Electric Razor Braun Cruzer 5 [kWh];HH1 - Bath - Electric Toothbrush Dondodent Professional Clean [kWh];HH1 - Living room - Phone Siemens Gigaset C320 [kWh];HH1 - Living room - Router O2 Box 6431 [kWh];HH1 - Living room - CD/DVD Player / Philips DVDR 725 H [kWh];HH1 - Living room - Home Cinema System / Samsung HT-D5550 [kWh];HH1 - Living room - SAT Receiver / Kathrein UFS913 [kWh];HH1 - Living room - TV Medion MD20123_DE_A [kWh];HH1 - Living room - Hifi System / Sharp XL-HF300PH [kWh];HH1 - Living room - Yamaha RX-V667 [kWh];HH1 - Living room - Nintendo Wii [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh];House - Cellar - Circulation Pump / Grundfos Alpha Pro 25-40 180 [kWh]
0;01.12.2023 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009444398099999998;0.0013625665305462792;0.01968091413688524;0.01300999999999999;0.0027887825721555097;0.0009554902000000001;0.00021983049016393436;0.0027779407303278685;0.006412785322404372;0.0010967555226639402;0.0020224197734467434;0.0013584542991160475;0.000276747674603358;0.003021052234314857;0.011797794979375198;0.002025082077821126;0.024590914780407303;0
60;01.12.2023 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009444398099999998;0.0013645628146651012;0.02408499502841529;0.01300999999999999;0.0027999550657835572;0.0009539200718579234;0.00021795308032786887;0.002778829737704917;0.0064123561448087415;0.0010827893691525503;0.0020577247562180937;0.0013659309592537062;0.00028226436779972867;0.0030162575252531197;0.01174123685636082;0.002014367792395469;0.02482176280785018;0
120;01.12.2023 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010732407433333329;0.0013486431375262743;0.01947186221994535;0.01300999999999999;0.002846467103241849;0.0009455554502732237;0.00022043912923497264;0.002776636286885244;0.006407936431693987;0.0010916139432275835;0.0021185722845036654;0.0013694832975301222;0.0002810633507933242;0.003003798078520049;0.01192320486298816;0.001977259597075859;0.025247791944033558;0
180;01.12.2023 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009444398099999998;0.001318400099552296;0.01502882708333333;0.01300999999999999;0.0028260314891779934;0.0009514806122950816;0.00022717095901639335;0.0027752891967213096;0.0064079019972677585;0.0011017217463340783;0.0021524031058465266;0.0013436228755253647;0.00027763448049633664;0.0030323977993148253;0.012030319239331858;0.001998302064716097;0.025439389075010133;0
240;01.12.2023 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012098365516666662;0.0013229790785626988;0.017121351344262292;0.01300999999999999;0.002826246907717892;0.0009512241740437157;0.00022012560573770484;0.0027784016811475405;0.006407778393442622;0.0010873041628108352;0.002061144340958124;0.0013656483212405581;0.00028038649708159646;0.0030191858879639686;0.012095555557526986;0.0019771402378961733;0.025666091032291807;0
300;01.12.2023 05:00;0;0;0.004333333333333332;0.002166666666666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005264664516666666;0.0013505877894377798;0.016451310618032785;0.01300999999999999;0.0027321032937280727;0.000955555312295082;0.00021908774562841526;0.002778126968032786;0.006407890163934427;0.001100191685013404;0.0020792800329401256;0.0013620920206603147;0.0002824540985752289;0.0030315333667480025;0.011887788781285064;0.0019523595360667926;0.024604584700815106;0.001697404535157946
360;01.12.2023 06:00;0;0.012333333333333332;0.007666666666666665;0.0038333333333333327;0;0;0;0.035349930456599114;0.03637492676902484;0.009081512335918947;0.468625071709754;0.01733321960819673;0.005071431926513319;0.055289221932513635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012002798349999996;0.0004949719863358129;0.017869744658469938;0.01300999999999999;0.00284975984110689;0.000952345350819672;0.00022513500273224036;0.0027790444816939886;0.006407984092896175;0.0011000959283869573;0.002090931543715931;0.0013390369134929539;0.00027873440264066434;0.0029693022660309564;0.01200442672939665;0.0019924501535219497;0.024596383020463672;0.024657580578190202
420;01.12.2023 07:00;0.009666666666666665;0.018;0;0;0;0;0;0.028861749391231224;0.031233823412784807;0.012147539751296375;0.3217397071687706;0.008666609804098365;0.002282837182717073;0.0418369775956284;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008854926713615768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094443981;0.0002515777716025013;0.017426037295081964;0.01300999999999999;0.0014328218628890043;0.0009488383980874314;0.0002189072207650272;0.0027782657704918017;0.006412511715846995;0.0010775493710746807;0.0021200722569244385;0.0013233443558101669;0.00028053141302619033;0.0030124413633255058;0.01204124762335694;0.0019992710558190485;0.02513899282594088;0.02502790359613207
480;01.12.2023 08:00;0.019999999999999997;0.013666666666666664;0;0;0;0;0;0;0;0.0089869124475197;0.1809333077213114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0191977262534881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00436671185;0.0005471780587493737;0.01753662498169398;0.01300999999999999;0;0.0009473005972677595;0.00022323373387978128;0.0027800117595628416;0.0064078314754098375;0.0010857958837247794;0.002092230893882921;0.0013696849578021793;0.0002816791619515945;0.0029327659521421433;0.011891190596812254;0.0019699390229073704;0.025076397373248332;0.02476903064632102
540;01.12.2023 09:00;0.009999999999999998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008635476547881818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005497013333333333;0.0013347662684866236;0.01740500238907103;0.01300999999999999;0.0015025705859603522;0.0009568891256830603;0.00021932627103825135;0.00277964055273224;0.006412751363387979;0.0010802851882819548;0.0020957501992614784;0.0013584815984830673;0.0002819233708417959;0.0029779668942931845;0.011866371066680521;0.0019807756296206635;0.024343480965397353;0.02484243638661024
