Date (GMT+2);Price (EUR/MWh)
01.08.24 00:00;43.89
01.08.24 01:00;44.01
01.08.24 02:00;41.77
01.08.24 03:00;42.12
01.08.24 04:00;41.19
01.08.24 05:00;42.58
01.08.24 06:00;42.25
01.08.24 07:00;44
01.08.24 08:00;44
01.08.24 09:00;42.65
01.08.24 10:00;42.91
01.08.24 11:00;41.46
01.08.24 12:00;41.05
01.08.24 13:00;41.01
01.08.24 14:00;40.01
01.08.24 15:00;39.8
01.08.24 16:00;41.21
01.08.24 17:00;43.16
01.08.24 18:00;42.13
01.08.24 19:00;42.1
01.08.24 20:00;42.44
01.08.24 21:00;42.87
01.08.24 22:00;42.66
01.08.24 23:00;40.91
02.08.24 00:00;38.79
02.08.24 01:00;38.79
02.08.24 02:00;38.8
02.08.24 03:00;41.04
02.08.24 04:00;38.3
02.08.24 05:00;37.97
02.08.24 06:00;38.8
02.08.24 07:00;38.3
02.08.24 08:00;38.31
02.08.24 09:00;37.96
02.08.24 10:00;41.78
02.08.24 11:00;42.3
02.08.24 12:00;39.17
02.08.24 13:00;38.3
02.08.24 14:00;38.29
02.08.24 15:00;47.5
02.08.24 16:00;45.14
02.08.24 17:00;44.9
02.08.24 18:00;40.43
02.08.24 19:00;39.59
02.08.24 20:00;39.5
02.08.24 21:00;39.12
02.08.24 22:00;39.98
02.08.24 23:00;39.03
03.08.24 00:00;43.59
03.08.24 01:00;47.7
03.08.24 02:00;43.6
03.08.24 03:00;39.19
03.08.24 04:00;35.01
03.08.24 05:00;34.91
03.08.24 06:00;36.04
03.08.24 07:00;35.12
03.08.24 08:00;35.17
03.08.24 09:00;42.99
03.08.24 10:00;32
03.08.24 11:00;25.53
03.08.24 12:00;23.36
03.08.24 13:00;11.97
03.08.24 14:00;9.5
03.08.24 15:00;17.57
03.08.24 16:00;29.37
03.08.24 17:00;39.16
03.08.24 18:00;37.09
03.08.24 19:00;47.31
03.08.24 20:00;46.89
03.08.24 21:00;43.52
03.08.24 22:00;45.05
03.08.24 23:00;47.16
04.08.24 00:00;48.31
04.08.24 01:00;43.54
04.08.24 02:00;41.69
04.08.24 03:00;40.4
04.08.24 04:00;39.14
04.08.24 05:00;39.11
04.08.24 06:00;39.5
04.08.24 07:00;39.49
04.08.24 08:00;39.49
04.08.24 09:00;27.87
04.08.24 10:00;11.47
04.08.24 11:00;5.37
04.08.24 12:00;-1.12
04.08.24 13:00;-10.15
04.08.24 14:00;-11.8
04.08.24 15:00;-5.15
04.08.24 16:00;4.99
04.08.24 17:00;37.14
04.08.24 18:00;42.89
04.08.24 19:00;51.49
04.08.24 20:00;49.56
04.08.24 21:00;48.37
04.08.24 22:00;47.14
04.08.24 23:00;46.74
05.08.24 00:00;47.26
05.08.24 01:00;48.47
05.08.24 02:00;47.64
05.08.24 03:00;43.5
05.08.24 04:00;41.13
05.08.24 05:00;40.2
05.08.24 06:00;44.87
05.08.24 07:00;54.15
05.08.24 08:00;55.1
05.08.24 09:00;49.5
05.08.24 10:00;50.08
05.08.24 11:00;43.49
05.08.24 12:00;37.72
05.08.24 13:00;32.57
05.08.24 14:00;32.52
05.08.24 15:00;39.5
05.08.24 16:00;40.39
05.08.24 17:00;47.92
05.08.24 18:00;78.93
05.08.24 19:00;49.5
05.08.24 20:00;49.49
05.08.24 21:00;48.2
05.08.24 22:00;49.24
05.08.24 23:00;48.03
06.08.24 00:00;58.85
06.08.24 01:00;51.39
06.08.24 02:00;43.09
06.08.24 03:00;41.46
06.08.24 04:00;39.69
06.08.24 05:00;42.2
06.08.24 06:00;49.19
06.08.24 07:00;54.7
06.08.24 08:00;68.21
06.08.24 09:00;59.58
06.08.24 10:00;41.05
06.08.24 11:00;31.11
06.08.24 12:00;23.91
06.08.24 13:00;17.33
06.08.24 14:00;18.33
06.08.24 15:00;35.23
06.08.24 16:00;41.79
06.08.24 17:00;45.9
06.08.24 18:00;57.29
06.08.24 19:00;49.3
06.08.24 20:00;49.48
06.08.24 21:00;50.35
06.08.24 22:00;51.01
06.08.24 23:00;49.29
07.08.24 00:00;49.4
07.08.24 01:00;43.71
07.08.24 02:00;40.81
07.08.24 03:00;43.49
07.08.24 04:00;43.26
07.08.24 05:00;43.69
07.08.24 06:00;44.11
07.08.24 07:00;49.8
07.08.24 08:00;52.2
07.08.24 09:00;51.39
