Latitude (decimal degrees):	47.134,,,,,,
Longitude (decimal degrees):	8.314,,,,,,
Elevation (m):	500,,,,,,
Radiation database:	PVGIS-SARAH3,,,,,,
,,,,,,
,,,,,,
Slope: 36 deg. (optimum),,,,,,
Azimuth: 1 deg. (optimum),,,,,,
Nominal power of the PV system (c-Si) (kWp):	3.0,,,,,,
System losses (%):	14.0,,,,,,
,,,,,,
P: PV system power (W),,,,,,
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2),,,,,,
H_sun: Sun height (degree),,,,,,
T2m: 2-m air temperature (degree Celsius),,,,,,
WS10m: 10-m total wind speed (m/s),,,,,,
Int: 1 means solar radiation values are reconstructed,,,,,,
,,,,,,
,,,,,,
,,,,,,
PVGIS (c) European Union,2001-2025,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,5.23,2.28,0.0
20230101:0110,0.0,0.0,0.0,5.27,2.28,0.0
20230101:0210,0.0,0.0,0.0,5.49,2.21,0.0
20230101:0310,0.0,0.0,0.0,5.49,2.07,0.0
20230101:0410,0.0,0.0,0.0,5.17,2.07,0.0
20230101:0510,0.0,0.0,0.0,4.67,2.07,0.0
20230101:0610,0.0,0.0,0.0,4.32,2.14,0.0
20230101:0710,0.0,0.0,0.0,4.25,2.14,0.0
20230101:0810,428.07,178.86,6.73,4.4,2.07,0.0
20230101:0910,1443.03,584.67,13.14,6.14,1.86,0.0
20230101:1010,1614.51,675.43,17.6,9.86,1.59,0.0
20230101:1110,1717.83,734.59,19.72,12.14,1.52,0.0
20230101:1210,1784.28,776.02,19.26,13.46,1.31,0.0
20230101:1310,1553.76,665.65,16.28,13.85,1.17,0.0
20230101:1410,1192.65,500.4,11.08,13.43,1.17,0.0
20230101:1510,515.82,223.27,4.1,12.0,1.38,0.0
20230101:1610,0.0,0.0,0.0,9.87,1.66,0.0
20230101:1710,0.0,0.0,0.0,7.71,1.93,0.0
20230101:1810,0.0,0.0,0.0,6.18,2.21,0.0
20230101:1910,0.0,0.0,0.0,6.09,2.28,0.0
20230101:2010,0.0,0.0,0.0,5.3,2.34,0.0
20230101:2110,0.0,0.0,0.0,5.05,2.48,0.0
20230101:2210,0.0,0.0,0.0,5.04,2.48,0.0
20230101:2310,0.0,0.0,0.0,4.84,2.48,0.0
20230102:0010,0.0,0.0,0.0,4.62,2.48,0.0
20230102:0110,0.0,0.0,0.0,4.37,2.41,0.0
20230102:0210,0.0,0.0,0.0,4.21,2.34,0.0
20230102:0310,0.0,0.0,0.0,4.01,2.34,0.0
20230102:0410,0.0,0.0,0.0,3.78,2.28,0.0
20230102:0510,0.0,0.0,0.0,3.62,2.21,0.0
20230102:0610,0.0,0.0,0.0,3.49,2.21,0.0
20230102:0710,0.0,0.0,0.0,4.8,2.14,0.0
20230102:0810,133.59,66.76,6.75,5.22,1.93,0.0
20230102:0910,529.89,218.15,13.18,7.07,1.52,0.0
20230102:1010,1025.25,418.46,17.66,9.47,1.1,0.0
20230102:1110,673.74,280.87,19.8,11.95,0.83,0.0
20230102:1210,1770.81,777.72,19.36,12.84,0.62,0.0
20230102:1310,679.35,284.39,16.39,12.95,0.55,0.0
20230102:1410,301.23,134.99,11.2,12.54,0.69,0.0
20230102:1510,68.7,41.69,4.22,12.68,0.55,0.0
20230102:1610,0.0,0.0,0.0,12.27,0.55,0.0
20230102:1710,0.0,0.0,0.0,11.71,0.62,0.0
20230102:1810,0.0,0.0,0.0,11.13,0.62,0.0
20230102:1910,0.0,0.0,0.0,10.51,0.76,0.0
20230102:2010,0.0,0.0,0.0,9.98,0.41,0.0
20230102:2110,0.0,0.0,0.0,9.71,0.34,0.0
20230102:2210,0.0,0.0,0.0,9.42,0.62,0.0
20230102:2310,0.0,0.0,0.0,9.04,0.76,0.0
20230103:0010,0.0,0.0,0.0,8.77,0.76,0.0
20230103:0110,0.0,0.0,0.0,8.34,0.69,0.0
20230103:0210,0.0,0.0,0.0,8.05,0.55,0.0
20230103:0310,0.0,0.0,0.0,7.78,0.62,0.0
20230103:0410,0.0,0.0,0.0,7.4,0.76,0.0
20230103:0510,0.0,0.0,0.0,5.97,0.83,0.0
20230103:0610,0.0,0.0,0.0,6.92,0.69,0.0
20230103:0710,0.0,0.0,0.0,7.16,0.55,0.0
20230103:0810,452.76,191.49,6.77,7.05,0.48,0.0
20230103:0910,151.23,74.44,13.22,7.16,0.48,0.0
20230103:1010,228.57,104.69,17.73,6.92,0.41,0.0
20230103:1110,351.51,152.65,19.89,8.34,0.55,0.0
