timestamp,PV_energy_production_kWh,G(i),H_sun,T2m,WS10m,Int
2024-08-01 00:00:00,0.0,0.0,0.0,17.94,1.17,0.0
2024-08-01 01:00:00,0.0,0.0,0.0,17.93,1.17,0.0
2024-08-01 02:00:00,0.0,0.0,0.0,17.99,1.1,0.0
2024-08-01 03:00:00,0.0,0.0,0.0,17.36,1.24,0.0
2024-08-01 04:00:00,0.0,0.0,0.0,17.62,1.24,0.0
2024-08-01 05:00:00,7.26,11.27,9.47,17.81,1.24,0.0
2024-08-01 06:00:00,124.17,66.4,19.47,17.97,1.24,0.0
2024-08-01 07:00:00,136.53,71.93,29.65,18.94,0.9,0.0
2024-08-01 08:00:00,198.63,97.75,39.65,18.93,1.38,0.0
2024-08-01 09:00:00,377.4,170.61,48.88,18.84,1.59,0.0
2024-08-01 10:00:00,293.76,136.49,56.39,18.81,1.79,0.0
2024-08-01 11:00:00,565.23,247.15,60.57,18.64,1.86,0.0
2024-08-01 12:00:00,224.16,107.9,59.91,18.37,1.86,0.0
2024-08-01 13:00:00,235.5,112.51,54.69,18.12,1.38,0.0
2024-08-01 14:00:00,405.81,181.68,46.62,18.5,2.0,0.0
2024-08-01 15:00:00,157.11,80.23,37.12,18.4,2.69,0.0
2024-08-01 16:00:00,134.94,71.01,27.03,18.46,2.34,0.0
2024-08-01 17:00:00,50.91,34.12,16.86,18.05,1.79,0.0
2024-08-01 18:00:00,0.36,6.07,6.96,17.48,1.59,0.0
2024-08-01 19:00:00,0.0,0.0,0.0,15.8,1.45,0.0
2024-08-01 20:00:00,0.0,0.0,0.0,15.05,1.31,0.0
2024-08-01 21:00:00,0.0,0.0,0.0,14.34,1.24,0.0
2024-08-01 22:00:00,0.0,0.0,0.0,14.1,1.1,0.0
2024-08-01 23:00:00,0.0,0.0,0.0,13.24,1.17,0.0
2024-08-02 00:00:00,0.0,0.0,0.0,13.05,1.1,0.0
2024-08-02 01:00:00,0.0,0.0,0.0,13.05,1.1,0.0
2024-08-02 02:00:00,0.0,0.0,0.0,12.6,1.17,0.0
2024-08-02 03:00:00,0.0,0.0,0.0,12.03,1.31,0.0
2024-08-02 04:00:00,0.0,0.0,0.0,13.56,0.9,0.0
2024-08-02 05:00:00,90.57,51.13,9.29,13.73,0.97,0.0
2024-08-02 06:00:00,64.26,39.66,19.3,13.94,1.38,0.0
2024-08-02 07:00:00,146.34,74.7,29.49,14.61,1.24,0.0
2024-08-02 08:00:00,1424.76,619.03,39.47,16.44,1.1,0.0
2024-08-02 09:00:00,1680.45,760.21,48.69,19.62,0.97,0.0
2024-08-02 10:00:00,1962.39,932.98,56.16,22.82,1.03,0.0
2024-08-02 11:00:00,2103.48,1008.79,60.32,24.71,1.86,0.0
2024-08-02 12:00:00,2106.66,1006.73,59.66,26.19,2.41,0.0
2024-08-02 13:00:00,1974.78,926.74,54.47,27.08,2.83,0.0
2024-08-02 14:00:00,1708.59,782.75,46.41,27.19,2.83,0.0
2024-08-02 15:00:00,1230.6,552.54,36.92,26.97,2.34,0.0
2024-08-02 16:00:00,98.13,57.18,26.84,26.57,1.66,0.0
2024-08-02 17:00:00,20.16,19.37,16.67,25.89,1.93,0.0
2024-08-02 18:00:00,0.27,6.07,6.77,24.23,1.93,0.0
2024-08-02 19:00:00,0.0,0.0,0.0,22.29,2.21,0.0
2024-08-02 20:00:00,0.0,0.0,0.0,20.74,1.86,0.0
2024-08-02 21:00:00,0.0,0.0,0.0,19.65,1.93,0.0
2024-08-02 22:00:00,0.0,0.0,0.0,19.04,1.86,0.0
2024-08-02 23:00:00,0.0,0.0,0.0,18.57,1.59,0.0
2024-08-03 00:00:00,0.0,0.0,0.0,17.55,1.66,0.0
2024-08-03 01:00:00,0.0,0.0,0.0,16.19,1.59,0.0
2024-08-03 02:00:00,0.0,0.0,0.0,14.87,1.79,0.0
2024-08-03 03:00:00,0.0,0.0,0.0,14.34,1.93,0.0
2024-08-03 04:00:00,0.0,0.0,0.0,13.74,1.93,0.0
2024-08-03 05:00:00,96.75,53.73,9.12,13.73,1.79,0.0
2024-08-03 06:00:00,387.93,202.09,19.13,15.6,1.72,0.0
